"date_id";"date";"timestamp";"weekend";"day_of_week";"month";"month_day";"year";"week_starting_monday"
123;"2010-05-04";1272911400;"Weekday";"Tuesday";"May";4;2010;"18"
124;"2010-05-05";1272997800;"Weekday";"Wednesday";"May";5;2010;"18"
125;"2010-05-06";1273084200;"Weekday";"Thursday";"May";6;2010;"18"
126;"2010-05-07";1273170600;"Weekday";"Friday";"May";7;2010;"18"
127;"2010-05-08";1273257000;"Weekend";"Saturday";"May";8;2010;"18"
128;"2010-05-09";1273343400;"Weekend";"Sunday";"May";9;2010;"18"
129;"2010-05-10";1273429800;"Weekday";"Monday";"May";10;2010;"19"
130;"2010-05-11";1273516200;"Weekday";"Tuesday";"May";11;2010;"19"
131;"2010-05-12";1273602600;"Weekday";"Wednesday";"May";12;2010;"19"
132;"2010-05-13";1273689000;"Weekday";"Thursday";"May";13;2010;"19"
133;"2010-05-14";1273775400;"Weekday";"Friday";"May";14;2010;"19"
134;"2010-05-15";1273861800;"Weekend";"Saturday";"May";15;2010;"19"
135;"2010-05-16";1273948200;"Weekend";"Sunday";"May";16;2010;"19"
136;"2010-05-17";1274034600;"Weekday";"Monday";"May";17;2010;"20"
137;"2010-05-18";1274121000;"Weekday";"Tuesday";"May";18;2010;"20"
138;"2010-05-19";1274207400;"Weekday";"Wednesday";"May";19;2010;"20"
139;"2010-05-20";1274293800;"Weekday";"Thursday";"May";20;2010;"20"
140;"2010-05-21";1274380200;"Weekday";"Friday";"May";21;2010;"20"
141;"2010-05-22";1274466600;"Weekend";"Saturday";"May";22;2010;"20"
142;"2010-05-23";1274553000;"Weekend";"Sunday";"May";23;2010;"20"
143;"2010-05-24";1274639400;"Weekday";"Monday";"May";24;2010;"21"
144;"2010-05-25";1274725800;"Weekday";"Tuesday";"May";25;2010;"21"
145;"2010-05-26";1274812200;"Weekday";"Wednesday";"May";26;2010;"21"
146;"2010-05-27";1274898600;"Weekday";"Thursday";"May";27;2010;"21"
147;"2010-05-28";1274985000;"Weekday";"Friday";"May";28;2010;"21"
148;"2010-05-29";1275071400;"Weekend";"Saturday";"May";29;2010;"21"
149;"2010-05-30";1275157800;"Weekend";"Sunday";"May";30;2010;"21"
150;"2010-05-31";1275244200;"Weekday";"Monday";"May";31;2010;"22"
151;"2010-06-01";1275330600;"Weekday";"Tuesday";"June";1;2010;"22"
152;"2010-06-02";1275417000;"Weekday";"Wednesday";"June";2;2010;"22"
153;"2010-06-03";1275503400;"Weekday";"Thursday";"June";3;2010;"22"
154;"2010-06-04";1275589800;"Weekday";"Friday";"June";4;2010;"22"
155;"2010-06-05";1275676200;"Weekend";"Saturday";"June";5;2010;"22"
156;"2010-06-06";1275762600;"Weekend";"Sunday";"June";6;2010;"22"
157;"2010-06-07";1275849000;"Weekday";"Monday";"June";7;2010;"23"
158;"2010-06-08";1275935400;"Weekday";"Tuesday";"June";8;2010;"23"
159;"2010-06-09";1276021800;"Weekday";"Wednesday";"June";9;2010;"23"
160;"2010-06-10";1276108200;"Weekday";"Thursday";"June";10;2010;"23"
161;"2010-06-11";1276194600;"Weekday";"Friday";"June";11;2010;"23"
162;"2010-06-12";1276281000;"Weekend";"Saturday";"June";12;2010;"23"
163;"2010-06-13";1276367400;"Weekend";"Sunday";"June";13;2010;"23"
164;"2010-06-14";1276453800;"Weekday";"Monday";"June";14;2010;"24"
165;"2010-06-15";1276540200;"Weekday";"Tuesday";"June";15;2010;"24"
166;"2010-06-16";1276626600;"Weekday";"Wednesday";"June";16;2010;"24"
167;"2010-06-17";1276713000;"Weekday";"Thursday";"June";17;2010;"24"
168;"2010-06-18";1276799400;"Weekday";"Friday";"June";18;2010;"24"
169;"2010-06-19";1276885800;"Weekend";"Saturday";"June";19;2010;"24"
170;"2010-06-20";1276972200;"Weekend";"Sunday";"June";20;2010;"24"
171;"2010-06-21";1277058600;"Weekday";"Monday";"June";21;2010;"25"
172;"2010-06-22";1277145000;"Weekday";"Tuesday";"June";22;2010;"25"
173;"2010-06-23";1277231400;"Weekday";"Wednesday";"June";23;2010;"25"
